firm,sector,size_tercile,cd_cvm,year,adopt_level,claim_specificity,labor_signal,use_case,use_case_other,evidence_quote,source_url,access_date,doc_type,headcount,notes,coding_method
BANCO PINE S/A,banking,small,20567,2023,0,,neutral,,,,,2026-07-17,,324,"The sole passage describes an EWMA algorithm for VaR volatility calculation, not a disclosed AI use.",double-coded (A=B)
BANCO PINE S/A,banking,small,20567,2024,0,,neutral,,,,,2026-07-17,,366,The cited EWMA algorithm is a conventional VaR volatility calculation and does not disclose AI or RPA use.,double-coded (A=B)
DROGASIL SA,retail,large,5258,2023,2,1,neutral,process-automation/RPA;supply-chain/logistics,,"Esse modelo está baseado na automação dos principais processos, integrando a cadeia de suprimentos desde a geração dos pedidos de compras até a entrega das mercadorias à loja.",http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146900,2026-07-17,FRE,57216,"I side with Coder A because the disclosed operating automation spans the supply-chain process, whereas the virtual assistant is not expressly identified as AI.",adjudicated
DROGASIL SA,retail,large,5258,2024,1,2,neutral,HR/people,,"Em 2024, ainda em fase-piloto, a ferramenta coletou informações de mais de 400 trabalhadores",https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1389753&numSequencia=914465&numVersao=1,2026-07-17,annual_report,64234,"The firm reports an AI chatbot pilot for monitoring third-party working conditions that reached more than 400 workers, and its pilot status caps adoption at 1.",double-coded (A=B)
SENDAS DISTRIBUIDORA S.A.,retail,large,25372,2023,1,1,neutral,HR/people,,"tudo integrado pela plataforma Gupy, que contempla também inteligência artificial aplicada ao sistema.",https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1218247&numSequencia=742973&numVersao=1,2026-07-17,annual_report,80377,"The disclosure identifies AI applied within the named Gupy recruitment platform, but does not establish broader deployment scale.",double-coded (A=B)
SENDAS DISTRIBUIDORA S.A.,retail,large,25372,2024,2,2,neutral,customer-service/chatbot;marketing/personalization;other,merchandise pricing,Esses esforços incluem um maior uso de inteligência artificial (IA). Cerca de 80% do volume do nosso atendimento já é feito por meio dessa tecnologia,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1353991&numSequencia=878717&numVersao=1,2026-07-17,annual_report,83908,"AI is disclosed as handling approximately 80% of service volume, with additional AI uses in app promotions and merchandise pricing.",double-coded (A=B)
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,retail,mid,20990,2023,0,,neutral,,,,,,,33961,No AI-related disclosure was found in the provided readable documents.,double-coded (A=B)
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,retail,mid,20990,2024,0,,neutral,,,,,,,34485,No AI-related content is disclosed in the provided readable-document evidence.,double-coded (A=B)
EMPREENDIMENTOS PAGUE MENOS SA,retail,mid,22608,2023,2,1,neutral,customer-service/chatbot,,"No trimestre, lançamos a venda por whatsapp, integrando o canal com nosso e-commerce e automatizando a jornada básica de compra através de um chatbot com inteligência artificial.",https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1233929&numSequencia=758655&numVersao=1,2026-07-17,annual_report,25630,I side with Coder B because the firm states that the AI chatbot was implemented in an operating customer sales channel.,adjudicated
EMPREENDIMENTOS PAGUE MENOS SA,retail,mid,22608,2024,2,2,neutral,customer-service/chatbot;process-automation/RPA;marketing/personalization;HR/people;data-analytics,,"Adicionalmente, desenvolvemos recentemente uma solução de relacionamento e vendas pelo WhatsApp, incorporando recursos de automação e inteligência artificial, com taxa de conversão superior a 75% sem necessidade de interação humana.",http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154346,2026-07-17,FRE,26078,"The firm reports deployed AI and RPA across several operating areas, with a quantified WhatsApp sales-and-relationship use case.",double-coded (A=B)
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,retail,small,25046,2023,0,,neutral,,,,,,,4161,No AI-related passage was disclosed in the provided evidence.,double-coded (A=B)
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,retail,small,25046,2024,0,,neutral,,,,,,,4657,"No AI candidate passage was found in the readable documents, so no AI use is disclosed.",double-coded (A=B)
MARISA LOJAS SA,retail,small,22055,2023,1,1,restraint,process-automation/RPA,,"ganhos de alavancagem operacional com renegociação de contratos, adoção de multifuncionalidade em lojas, digitalização via RPA e adoção de trabalho remoto",http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146805,2026-07-17,FRE,5631,RPA is disclosed as deployed and appears in the same operational-leverage passage as workforce-related store multifunctionality and remote work.,double-coded (A=B)
MARISA LOJAS SA,retail,small,22055,2024,1,1,restraint,process-automation/RPA,,"ganhos de alavancagem operacional com renegociação de contratos, adoção de multifuncionalidade em lojas, digitalização via RPA e adoção de trabalho remoto.",http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157778,2026-07-17,FRE,4139,"I side with Coder B because the same passage links RPA to operating leverage and workforce-related measures, meeting the restraint rule.",adjudicated
JBS SA,agribusiness,large,20575,2023,0,,neutral,,,,,,,273883,No AI-related disclosure was found in the provided readable documents.,double-coded (A=B)
JBS SA,agribusiness,large,20575,2024,0,,neutral,,,,,,,280579,No AI-related content is disclosed in the provided readable-document evidence.,double-coded (A=B)
MARFRIG,agribusiness,large,20788,2023,1,2,neutral,data-analytics,,"que totalizaram mais de 4,47 milhões de menções. Nessa coleta, foi utilizada a ferramenta Stilingue, plataforma de inteligência artificial.",https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1245381&numSequencia=770107&numVersao=1,2026-07-17,annual_report,32911,"Marfrig describes using the named Stilingue AI platform for a bounded materiality-analysis task, quantified by mentions collected.",double-coded (A=B)
MARFRIG,agribusiness,large,20788,2024,1,1,neutral,precision-ag,,"Junto com a Agrorobótica, estamos testando uma tecnologia que usa inteligência artificial na análise de solos, que permitirá avaliar de forma mais ágil o teor de carbono e outros nutrientes.",https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1376249&numSequencia=900961&numVersao=1,2026-07-17,annual_report,26104,"The firm describes a specific AI soil-analysis technology as being tested, supporting pilot rather than scale deployment.",double-coded (A=B)
SLC AGRICOLA SA,agribusiness,mid,20745,2023,0,,neutral,,,,,2026-07-17,,5757,"The passage describes an investment in Sensix and that startup's AI ambition, not SLC Agrícola's own AI use.",double-coded (A=B)
SLC AGRICOLA SA,agribusiness,mid,20745,2024,1,1,neutral,other,AI-enabled fire-anomaly alerting,"O sistema inovador utiliza inteligência artificial para gerar alertas automáticos em caso de anomalias, permitindo uma resposta ágil e eficaz.",https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1350637&numSequencia=875363&numVersao=1,2026-07-17,annual_report,6065,The firm describes a narrow operating AI alert system for fire-risk monitoring; bare digital-agriculture language is not relied upon.,double-coded (A=B)
SÃO MARTINHO SA,agribusiness,mid,20516,2023,0,,neutral,,,Projeto 4.0 de automação agrícola (Projeto COA) na Usina São Martinho,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140392,2026-07-17,FRE,12642,"I side with Coder B because the agricultural and industrial automation references do not identify AI, ML, analytics, or a rules-based/RPA system.",adjudicated
SÃO MARTINHO SA,agribusiness,mid,20516,2024,0,,neutral,,,,,,,12696,"No AI candidate passage was found in the readable documents, so no AI use is disclosed.",double-coded (A=B)
BOA SAFRA SEMENTES S.A.,agribusiness,small,25704,2023,0,,neutral,,,A companhia já tem um projeto desenhado para a automação do processo de royalties. O Objetivo é a execução deste projeto em 2024.,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144847,2026-07-17,FRE,646,"I side with Coder B because the only described automation use is planned, while the collateral reference does not describe an operating firm use.",adjudicated
BOA SAFRA SEMENTES S.A.,agribusiness,small,25704,2024,1,1,neutral,other,seed-lot quality assessment,"envelhecimento acelerado, emergência em canteiro e avaliação por inteligência artificial.",http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156049,2026-07-17,FRE,835,"AI is described as one component of the firm’s seed-lot evaluation process, supporting a narrow deployment.",double-coded (A=B)
BRASILAGRO CIA BRAS DE PROP AGRICOLAS,agribusiness,small,20036,2023,0,,neutral,,,,,,,166,No AI-related disclosure was found in the provided readable documents.,double-coded (A=B)
BRASILAGRO CIA BRAS DE PROP AGRICOLAS,agribusiness,small,20036,2024,0,,neutral,,,"Na Fazenda São José (MA), um sistema de automação controla os pivôs fixos",https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1321588&numSequencia=846314&numVersao=1,2026-07-17,annual_report,582,"I side with Coder B because this precision-agriculture automation is not tied by the firm to AI, ML, or analytics.",adjudicated
